NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
3904575,OH,Allen East Local School District,Allen East Local School District,2020,"10,493,446",,"10,493,446",,"10,493,446",,,
4807890,TX,Allen Independent School District,Allen Independent School District,2020,"61,298,798",,"61,298,798","97,775,841","159,074,639",,,
2200060,LA,Allen Parish School Board,Allen Parish School Board,2020,"52,374,048",,"52,374,048",,"52,374,048",,,
2602520,MI,Allen Park Public Schools,Allen Park Public Schools,2020,"78,913,212",,"78,913,212",,"78,913,212",,,
4002790,OK,Allen-Bowden School District No. C-35,Allen-Bowden Public Schools 35,2020,,,0,,0,,,
2602550,MI,Allendale Public Schools,Allendale Public Schools,2020,"52,035,342",,"52,035,342",,"52,035,342",,,
601980,CA,Allensworth Elementary School District,Allensworth Elementary School District,2020,"700,962",,"700,962","217,213","918,175",,,
4202280,PA,Allentown School District,Allentown School District,2020,"424,353,378",,"424,353,378",,"424,353,378",,,
3904349,OH,Alliance City School District,Alliance City School District,2020,"40,913,269",,"40,913,269",,"40,913,269",,,
3102910,NE,Alliance Public Schools District No. 6,Alliance Public Schools District No. 6,2020,,,0,,0,,,
2602640,MI,Alma Public Schools,Alma Public Schools,2020,"42,548,415",,"42,548,415",,"42,548,415",,,
502250,AR,Alma School District No. 30,Alma School District No. 30,2020,"24,889,783",,"24,889,783",,"24,889,783",,,
2602670,MI,Almont Community Schools,Almont Community Schools,2020,"24,304,277",,"24,304,277",,"24,304,277",,,
602010,CA,Alpaugh Unified School District,Alpaugh Unified School District,2020,"3,495,213",,"3,495,213","994,562","4,489,775",,,
2602730,MI,Alpena Public Schools,Alpena Public Schools,2020,"71,221,986",,"71,221,986",,"71,221,986",,,
502280,AR,Alpena School District No.5,Alpena School District No.5,2020,"3,906,787",,"3,906,787",,"3,906,787",,,
